datetime,model,n_epochs,learning_rate,weight_decay,batch_size,accumulation_steps,total_loss,mAP,mAP_0.3,precision,recall,recall_0.3,IoU,f1_score,n_preds,n_ground_truths
2025-06-11 22:08:26,yolov3_sample_006,120,0.001,0.0005,8,4,1801.691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18206,211233
2025-06-11 13:23:27,yolov3_sample_006,5,0.001,0.0005,8,1,8111.8079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,211254
